"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,122855539,6,9,19-JUL-19,135977059
2019,122851004,63,38,,135977069
2019,122855548,29,125,,135977088
2019,122855600,10,,,135977148
2019,122855600,11,1,,135969932
2019,122851097,20,1143,,135969985
2019,122855649,24,3000,,135969998
2019,122855649,36,500,,135969999
2019,122851135,37,1,,135977251
2019,122851135,52,0,,135977252
2019,122855676,61,200,,135977268
2019,122855703,63,200,,135970047
2019,122855703,6,590,,135970045
2019,122855706,63,800,,135970054
2019,122855706,6,280,,135970052
2019,122855706,17,500,,135970053
2019,122855704,35,300,,135970050
2019,122855719,38,80,,135970069
2019,122855731,6,300,,135970083
2019,122855745,51,0,,135970099
2019,122855775,10,,,135970139
2019,122855775,11,3,,135970140
2019,122855771,32,10000,,135970136
2019,122851179,42,200,,135977320
2019,122851198,3,1000,,135977345
2019,122855809,3,1000,06-AUG-19,135977344
2019,122851272,11,10,,135977450
2019,122851272,10,,,135970239
2019,122851292,16,1200,,135970251
2019,122851292,63,300,,135970252
2019,122855879,20,200,,135970281
2019,122855879,22,0,,135970282
2019,122855882,29,400,,135977517
2019,122851338,11,10,,135970289
2019,122851410,8,188,,135977605
2019,122855909,16,20,,135970326
2019,122855915,63,1,,135977629
2019,122855923,3,1500,,135970342
2019,122855923,63,400,,135970346
2019,122855923,7,1500,,135970344
2019,122855923,20,270,,135977643
2019,122855922,3,1500,29-JUL-19,135970341
2019,122855923,9,0,,135977642
2019,122855923,26,400,,135970345
2019,122851444,11,4,,135977647
2019,122851444,10,,,135977646
2019,122855939,10,,,135970365
2019,122855939,11,10,,135970366
2019,122851465,3,15000,30-AUG-19,135977677
2019,122855941,3,15000,,135970369
2019,122851508,11,3,,135970402
2019,122855976,11,2,,135970427
2019,122855976,10,,,135977760
2019,122851560,56,92,11-NOV-19,135970440
2019,122851561,56,92,,135977787
2019,122851560,25,10,11-NOV-19,135977786
2019,122851561,25,11,,135970441
2019,122851561,63,2,,135977788
2019,122857013,63,1807,,135971745
2019,122857013,9,0,,135971744
2019,122852491,63,100,,135979118
2019,122857021,63,150,,135971756
2019,122857023,25,40,,135971760
2019,122857023,51,0,,135971761
2019,122857023,20,3,,135971759
2019,122857023,63,100,,135971762
2019,122857023,6,70,,135971758
2019,122857028,63,80,,135971767
2019,122852497,63,50,,135979127
2019,122857031,26,290,,135971770
2019,122852502,11,1,,135971775
2019,122852502,10,,,135971774
2019,122857035,20,800,,135971776
2019,122852504,3,2000,,135979134
2019,122857046,20,400,,135971797
2019,122857051,3,1500,,135979144
2019,122857056,63,10,,135971807
2019,122857062,10,,,135971811
2019,122857062,11,1,,135971813
2019,122852520,16,100,,135971816
2019,122857071,10,,,135979160
2019,122857075,63,0,,135971830
2019,122857085,63,160,,135971846
2019,122852530,61,270,,135979169
2019,122857087,63,0,,135971850
2019,122857087,9,0,,135971849
2019,122852533,3,700,,135979172
2019,122857101,63,60,,135971871
2019,122857107,63,98,,135971882
2019,122857132,63,300,,135971917
2019,122857135,63,500,,135971923
2019,122857135,38,100,,135971922
2019,122857140,30,100,,135971928
2019,122857142,36,45,,135979204
2019,122852563,63,500,30-SEP-19,135979203
2019,122857142,63,950,,135979205
2019,122857151,11,1,,135971938
2019,122857153,2,30,15-DEC-19,135971941
2019,122857154,2,30,,135971942
2019,122857161,63,1,,135979231
2019,122857166,63,30,,135979233
2019,122852582,11,1,,135979234
2019,117413904,10,,,128512828
2019,117413904,11,3,,128509478
2019,117421635,3,300,,128509481
2019,117413909,38,150,,128505922
2019,117413910,30,150,,128505925
2019,117413920,49,90,,128512841
2019,117413920,13,500,,128509504
2019,117413920,24,4000,,128509505
2019,117413921,4,140,,128512844
2019,117418659,13,359,,128509511
2019,117413925,9,0,,128512849
2019,117413926,63,20,,128512851
2019,117413926,26,100,,128512850
2019,117413927,10,12,,128512852
